Service Name,Physical Address,Physical Suburb,Physical State,Physical Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,2019 MMM Code,2016 SA2 Code,2016 SA2 Name,2016 SA3 Code,2016 SA3 Name,2023 LGA Name,2023 LGA Code,2017 PHN Code,2017 PHN Name,Latitude,Longitude
BaptistCare at home-Illawarra & Southern Highlands,179 Clinton Street,GOULBURN,NSW,2580,Southern Highlands,Short-Term Restorative Care (STRC),0,0,3,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,3,11539,Goulburn,10105,Goulburn - Mulwaree,Goulburn Mulwaree,13310,PHN106,South Eastern NSW,-34.7547909999999,149.710048
Uniting Church in Australia Northern Sydney Home & Community Care,2 Chapman Avenue,CHATSWOOD,NSW,2067,Northern Sydney,Short-Term Restorative Care (STRC),0,0,9,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11398,Chatswood (East) - Artarmon,12101,Chatswood - Lane Cove,Willoughby,18250,PHN102,Northern Sydney,-33.80106,151.181777
Co.As.It. Community Services,35 Dover Street,ALBION,QLD,4010,Brisbane North,Short-Term Restorative Care (STRC),0,0,26,Co.As.It. Community Services Ltd,Community Based,Major Cities of Australia,1,31119,Albion,30503,Brisbane Inner - North,Brisbane,31000,PHN301,Brisbane North,-27.431379,153.044908999999
Southern Cross Care - WA,15 Rowe Avenue,RIVERVALE,WA,6103,Metropolitan South East,Short-Term Restorative Care (STRC),0,0,12,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,1,51122,Rivervale - Kewdale - Cloverdale,50602,Belmont - Victoria Park,Belmont,50490,PHN502,Perth South,-31.9568599999999,115.90428
Prompt Care STRC - Rural Queensland,102 Marshall Street,GOONDIWINDI,QLD,4390,Darling Downs,Short-Term Restorative Care (STRC),0,0,8,The Carers' Phone Pty Ltd,Private Incorporated Body,Outer Regional Australia,4,31173,Goondiwindi,30701,Darling Downs (West) - Maranoa,Goondiwindi,33610,PHN304,Darling Downs and West Moreton,-28.54739,150.307213999999
Prompt Care STRC - Sydney,466 Burwood Road,BELMORE,NSW,2192,Inner West,Short-Term Restorative Care (STRC),0,0,16,The Carers' Phone Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11362,Belmore - Belfield,11902,Canterbury,Canterbury-Bankstown,11570,PHN101,Central and Eastern Sydney,-33.92121,151.089547
annecto LGBTIQ+ STRC,275 Great Western Highway,GLEBE,NSW,2037,South East Sydney,Short-Term Restorative Care (STRC),0,0,6,Annecto Inc,Charitable,Major Cities of Australia,1,11331,Glebe - Forest Lodge,11703,Sydney Inner City,Sydney,17200,PHN101,Central and Eastern Sydney,-33.884295,151.193008999999
RSL LifeCare STRC - NSW,"Level 5, 120 Pacific Highway",ST LEONARDS,NSW,2065,Northern Sydney,Short-Term Restorative Care (STRC),0,0,9,RSL LifeCare Limited,Community Based,Major Cities of Australia,1,11400,Lane Cove - Greenwich,12101,Chatswood - Lane Cove,Lane Cove,14700,PHN102,Northern Sydney,-33.824956,151.187613999999
Cobram Regional Care,16 Campbell Road,COBRAM,VIC,3644,Hume,Home Care,0,0,0,Ottrey Homes - Cobram And District Retirement Village Inc,Community Based,Inner Regional Australia,4,21411,Cobram,21602,Moira,Moira,24900,PHN205,Murray,-35.9197729999999,145.660054
Australian Unity Triple R Program - Qld,77 MINJUNGBAL DRIVE,TWEED HEADS SOUTH,NSW,2486,Far North Coast,Short-Term Restorative Care (STRC),0,0,24,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11552,Tweed Heads South,11203,Tweed Valley,Tweed,17550,PHN109,North Coast,-28.198629,153.543401999999
Feros Care STRC VIC Southern Metro,"Level 27, 101 Collins Street",MELBOURNE,VIC,3000,Western Metro,Short-Term Restorative Care (STRC),0,0,15,Feros Care,Community Based,Major Cities of Australia,1,21122,Melbourne,20604,Melbourne City,Melbourne,24600,PHN201,North Western Melbourne,-37.814542,144.970499999999
Anglicare At Home - Mehi / Peel / Tablelands,"LEVEL 4, MQX4 Macquarie Exchange, 1 GIFFNOCK AVENUE",MACQUARIE PARK,NSW,2113,Northern Sydney,Home Care,0,0,0,Anglican Community Services,Religious,Major Cities of Australia,1,11500,Macquarie Park - Marsfield,12602,Ryde - Hunters Hill,Ryde,16700,PHN102,Northern Sydney,-33.7848389999999,151.126230999999
Uniting AgeWell Andrew Kerr Home Care,67-69 Tanti Avenue,MORNINGTON,VIC,3931,Southern Metro,Home Care,0,0,0,Uniting Agewell Limited,Religious,Major Cities of Australia,1,21380,Mornington,21402,Mornington Peninsula,Mornington Peninsula,25340,PHN203,South Eastern Melbourne,-38.219599,145.042970999999
Latrobe Home Care Packages - Barwon South Western,81-83 Buckley Street,MORWELL,VIC,3840,Gippsland,Home Care,0,0,0,Latrobe Community Health Service Limited,State Government,Inner Regional Australia,3,21096,Morwell,20504,Latrobe Valley,Latrobe (Vic.),23810,PHN204,Gippsland,-38.2356669999999,146.399541999999
Latrobe Home Care Packages - Northern Metro Region,81-83 Buckley Street,MORWELL,VIC,3840,Gippsland,Home Care,0,0,0,Latrobe Community Health Service Limited,State Government,Inner Regional Australia,3,21096,Morwell,20504,Latrobe Valley,Latrobe (Vic.),23810,PHN204,Gippsland,-38.2356669999999,146.399541999999
Latrobe Home Care Packages - Western Metro Region,81-83 Buckley Street,MORWELL,VIC,3840,Gippsland,Home Care,0,0,0,Latrobe Community Health Service Limited,State Government,Inner Regional Australia,3,21096,Morwell,20504,Latrobe Valley,Latrobe (Vic.),23810,PHN204,Gippsland,-38.2356669999999,146.399541999999
Greenwich Place,33 Greenwich Road,GREENWICH,NSW,2065,Northern Sydney,Residential,90,0,0,Greenwich Place Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11400,Lane Cove - Greenwich,12101,Chatswood - Lane Cove,Lane Cove,14700,PHN102,Northern Sydney,-33.8275229999999,151.188087999999
Melbourne Home Care,"Level 2, 990 Whitehorse Road",BOX HILL,VIC,3128,Eastern Metro,Home Care,0,0,0,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,21163,Box Hill,20703,Whitehorse - West,Whitehorse,26980,PHN202,Eastern Melbourne,-37.818578,145.124846999999
Indigo North Health Inc,168 High Street,RUTHERGLEN,VIC,3685,Hume,Home Care,0,0,0,Glenview Health Inc.,Charitable,Inner Regional Australia,4,21065,Rutherglen,20402,Wangaratta - Benalla,Indigo,23350,PHN205,Murray,-36.0573049999999,146.458584999999
Better Living,"Level 3, 2107 Dandenong Road",CLAYTON,VIC,3168,Eastern Metro,Home Care,0,0,0,Argent Nominees Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21320,Clayton,21205,Monash,Monash,24970,PHN202,Eastern Melbourne,-37.9220529999999,145.140052999999
Seasons Living Mango Hill Care Suites,28 Akuna Way,MANGO HILL,QLD,4509,Cabool,Residential,30,0,0,Seasons Living Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31390,North Lakes - Mango Hill,31402,North Lakes,Moreton Bay,35010,PHN301,Brisbane North,-27.2451849999999,153.022164
Sunnycare Residential,15 Radiata Street,SUNNYBANK HILLS,QLD,4109,Brisbane South,Residential,70,0,0,Sunnycare Residential Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31080,Sunnybank Hills,30306,Sunnybank,Brisbane,31000,PHN302,Brisbane South,-27.606197,153.055982
Feros Care STRC VIC Western Metro,"Suite 303, The Strand, 72-80 Marine Parade",COOLANGATTA,QLD,4225,South Coast,Short-Term Restorative Care (STRC),0,0,15,Feros Care,Community Based,Major Cities of Australia,1,31230,Coolangatta,30902,Coolangatta,Gold Coast,33430,PHN303,Gold Coast,-28.1680889999999,153.538555
St Nicholas Seniors Care Centre,13-23 Henry Street,PUNCHBOWL,NSW,2196,Inner West,Residential,80,0,0,Antiochian Care Limited,Religious,Major Cities of Australia,1,11366,Punchbowl,11902,Canterbury,Canterbury-Bankstown,11570,PHN105,South Western Sydney,-33.9220619999999,151.054622999999
St Ives House,105 Killeaton Street,ST IVES,NSW,2075,Northern Sydney,Residential,124,0,0,Thompson Health Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11410,St Ives,12103,Ku-ring-gai,Ku-ring-gai,14500,PHN102,Northern Sydney,-33.7270049999999,151.168240999999
CASS Asquith Residential Aged Care Facility,461-473 Pacific Highway,ASQUITH,NSW,2077,Northern Sydney,Residential,97,0,0,Chinese Australian Services Society Limited,Community Based,Major Cities of Australia,1,11403,Asquith - Mount Colah,12102,Hornsby,Hornsby,14000,PHN102,Northern Sydney,-33.6829889999999,151.110388
BlueWave Living,6 Kathleen Street,WOY WOY,NSW,2256,Central Coast,Residential,159,0,0,Woy Woy Community Aged Care Ltd,Community Based,Major Cities of Australia,1,11042,Woy Woy - Blackwall,10201,Gosford,Central Coast (NSW),11650,PHN108,Hunter New England and Central Coast,-33.4975049999999,151.321006
Calvary Huntly Suites,476 Kooyong Road,CAULFIELD SOUTH,VIC,3162,Southern Metro,Residential,83,0,0,Calvary Aged Care Limited,Charitable,Major Cities of Australia,1,21178,Caulfield - South,20802,Glen Eira,Glen Eira,22310,PHN203,South Eastern Melbourne,-37.897106,145.013081
TLC Whitewater,84 White Street,MORDIALLOC,VIC,3195,Southern Metro,Residential,147,0,0,Great Oaks Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21193,Mordialloc - Parkdale,20803,Kingston,Kingston (Vic.),23430,PHN203,South Eastern Melbourne,-38.0000969999999,145.096743
Uniting AgeWell Hume Home Care,12 Rowan Street,WANGARATTA,VIC,3677,Hume,Home Care,0,0,0,Uniting Agewell Limited,Religious,Inner Regional Australia,3,21066,Wangaratta,20402,Wangaratta - Benalla,Wangaratta,26700,PHN205,Murray,-36.3529279999999,146.324208999999
Uniting AgeWell Southern Metro Home Care UVT,68-74 Atherton Road,OAKLEIGH,VIC,3166,Eastern Metro,Home Care,0,0,0,Uniting Agewell Limited,Religious,Major Cities of Australia,1,21326,Oakleigh - Huntingdale,21205,Monash,Monash,24970,PHN202,Eastern Melbourne,-37.899272,145.09277
Uniting AgeWell North West Metro Home Care UVT,319 Geelong Road,KINGSVILLE,VIC,3012,Western Metro,Home Care,0,0,0,Uniting Agewell Limited,Religious,Major Cities of Australia,1,21350,Seddon - Kingsville,21303,Maribyrnong,Maribyrnong,24330,PHN201,North Western Melbourne,-37.807507,144.876971999999
Prompt Care NSW,"Suite 2, 422 Burwood Road",BELMORE,NSW,2192,Inner West,Home Care,0,0,0,The Carers' Phone Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11362,Belmore - Belfield,11902,Canterbury,Canterbury-Bankstown,11570,PHN101,Central and Eastern Sydney,-33.9194609999999,151.089150999999
St Andrews Home Care,"St Andrews Aged Hostel, 1-2 Sullivan Road",TALLEBUDGERA,QLD,4228,South Coast,Home Care,0,0,0,Lutheran Church of Australia - Queensland District,Religious,Major Cities of Australia,1,31243,Currumbin Valley - Tallebudgera,30905,Mudgeeraba - Tallebudgera,Gold Coast,33430,PHN303,Gold Coast,-28.1200569999999,153.439098999999
Tabeel Home Care,Tabeel Aged Care 27 Ambrose Street,LAIDLEY,QLD,4341,West Moreton,Home Care,0,0,0,Lutheran Church of Australia - Queensland District,Religious,Inner Regional Australia,5,31280,Lockyer Valley - East,31002,Ipswich Hinterland,Lockyer Valley,34580,PHN304,Darling Downs and West Moreton,-27.6306559999999,152.395612999999
Trinder Park Home Care,"Unit 1, Trinder Park, 3-10 Laurel Street",WOODRIDGE,QLD,4114,Logan River Valley,Home Care,0,0,0,Lutheran Church of Australia - Queensland District,Religious,Major Cities of Australia,1,31336,Woodridge,31106,Springwood - Kingston,Logan,34590,PHN302,Brisbane South,-27.6280579999999,153.098025
Wahroonga Home Care,"Unit 1, Wahroonga Retirement, 1 Wahroonga Street",BILOELA,QLD,4715,Fitzroy,Home Care,0,0,0,Lutheran Church of Australia - Queensland District,Religious,Outer Regional Australia,4,31529,Biloela,30804,Biloela,Banana,30370,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-24.408435,150.513631
Zion Home Care,1-25 Union Street,NUNDAH,QLD,4012,Brisbane North,Home Care,0,0,0,Lutheran Church of Australia - Queensland District,Religious,Major Cities of Australia,1,31040,Nundah,30203,Nundah,Brisbane,31000,PHN301,Brisbane North,-27.403851,153.062195
Zion Gympie Home Care,8 Oconnell Street,GYMPIE,QLD,4570,Sunshine Coast,Home Care,0,0,0,Lutheran Church of Australia - Queensland District,Religious,Inner Regional Australia,3,31512,Gympie - North,31903,Gympie - Cooloola,Gympie,33620,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.189162,152.663735
Teviot Home Care,"UNIT 1, 13 CHURCH STREET",BOONAH,QLD,4310,West Moreton,Home Care,0,0,0,Lutheran Church of Australia - Queensland District,Religious,Inner Regional Australia,5,31277,Boonah,31002,Ipswich Hinterland,Scenic Rim,36510,PHN304,Darling Downs and West Moreton,-27.9987929999999,152.683451999999
Clifton Community Health Services,Hospital 20 Norman Street,CLIFTON,QLD,4361,Darling Downs,Home Care,0,0,0,Clifton Co-Op Hospital Ltd,Community Based,Inner Regional Australia,5,31184,Clifton - Greenmount,30703,Granite Belt,Toowoomba,36910,PHN304,Darling Downs and West Moreton,-27.930738,151.912352999999
Prompt Care NSW,"Suite 2, 422 Burwood Road",BELMORE,NSW,2192,Inner West,Home Care,0,0,0,The Carers' Phone Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11362,Belmore - Belfield,11902,Canterbury,Canterbury-Bankstown,11570,PHN101,Central and Eastern Sydney,-33.9194609999999,151.089150999999
Living Waters Aged Care Pty Ltd,16 Tilbury Avenue,STANHOPE GARD,NSW,2768,Western Sydney,Home Care,0,0,0,Living Waters Aged Care Pty Ltd,Publicly Listed Company,Major Cities of Australia,1,11310,Parklea - Kellyville Ridge,11602,Blacktown - North,Blacktown,10750,PHN103,Western Sydney,-33.7145579999999,150.926871
St Vincent's Care Corinda,20 Menin Road,CORINDA,QLD,4075,Brisbane South,Residential,96,0,0,St Vincent's Care Services Ltd,Religious,Major Cities of Australia,1,31093,Corinda,30403,Sherwood - Indooroopilly,Brisbane,31000,PHN302,Brisbane South,-27.546862,152.977808
Princes Court at Home,27-29 Princes Street,MILDURA,VIC,3500,Loddon-Mallee,Home Care,0,0,0,Princes Court Ltd,Community Based,Outer Regional Australia,3,21469,Mildura - North,21502,Mildura,Mildura,24780,PHN205,Murray,-34.192016,142.149169
BrightCare Support Pty Ltd,81 Wembley Avenue,STRATHTULLOH,VIC,3338,Western Metro,Home Care,0,0,0,Brightcare Support Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21357,Melton South,21304,Melton - Bacchus Marsh,Melton,24650,PHN201,North Western Melbourne,-37.722439,144.588744999999
Brightwater Inglewood,"2 A Walter Road, West",INGLEWOOD,WA,6052,Metropolitan East,Residential,128,0,0,Brightwater Care Group Limited,Charitable,Major Cities of Australia,1,51039,Mount Lawley - Inglewood,50302,Perth City,Stirling,57910,PHN501,Perth North,-31.913094,115.874414999999
Mark & Sylvie's Home Care,260 Highett Road,HIGHETT,VIC,3190,Southern Metro,Home Care,0,0,0,Atticus Health Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21171,Cheltenham - Highett (West),20801,Bayside,Bayside (Vic.),20910,PHN203,South Eastern Melbourne,-37.948588,145.039366999999
Silver Chain Victoria,"Unit 2, 16-18 Croydon Road",CROYDON,VIC,3136,Eastern Metro,Home Care,0,0,0,Silver Chain - Victoria Limited,Publicly Listed Company,Major Cities of Australia,1,21451,Croydon - West,21103,Maroondah,Maroondah,24410,PHN202,Eastern Melbourne,-37.793249,145.282042999999
Care to Care,"Unit 4, 1151 Wynnum Road",CANNON HILL,QLD,4170,Brisbane South,Home Care,0,0,0,Curatura Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31048,Cannon Hill,30301,Carindale,Brisbane,31000,PHN302,Brisbane South,-27.4705869999999,153.100515999999
Karingal Green Home Care,53 Hawkevale Road,HIGH WYCOMBE,WA,6057,Metropolitan East,Home Care,0,0,0,"Karingal Green Health, Aged and Community Care (WA) Pty Ltd",Private Incorporated Body,Major Cities of Australia,1,51139,High Wycombe,50605,Kalamunda,Kalamunda,54200,PHN501,Perth North,-31.934441,116.012731
Rural Lifestyle Options Australia Ltd,"Unit 1, 100 Donald Road",REDLAND BAY,QLD,4165,Brisbane South,Home Care,0,0,0,Rural Lifestyle Options Australia Ltd,Community Based,Major Cities of Australia,1,31009,Redland Bay,30102,Cleveland - Stradbroke,Redland,36250,PHN302,Brisbane South,-27.636989,153.305519
Hazel Home Care,"Office 28, 207 Riddell Parade",ELSTERNWICK,VIC,3185,Southern Metro,Home Care,0,0,0,Western HomeCare Pty. Ltd.,Private Incorporated Body,Major Cities of Australia,1,21179,Elsternwick,20802,Glen Eira,Glen Eira,22310,PHN203,South Eastern Melbourne,-37.888306,145.003735
Linked to Life Incorporated T/A Linked to Life,Lot 31 108 Park Beach Road,COFFS HARBOUR,NSW,2450,Mid North Coast,Home Care,0,0,0,Linked to Life Incorporated,Charitable,Inner Regional Australia,3,11084,Coffs Harbour - North,10402,Coffs Harbour,Coffs Harbour,11800,PHN109,North Coast,-30.2864439999999,153.136021999999
Broome Regional Aboriginal Medical Service,2 Dora Street,BROOME,WA,6725,Kimberley,Home Care,0,0,0,Broome Regional Aboriginal Medical Service,Community Based,Remote Australia,6,51262,Broome,51001,Kimberley,Broome,50980,PHN503,Country WA,-17.961537,122.229753
Aeralife Northcote,14-24 Pearl Street,NORTHCOTE,VIC,3070,Northern Metro,Residential,75,0,0,Milford Hall Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21111,Northcote,20602,Darebin - South,Darebin,21890,PHN201,North Western Melbourne,-37.778447,144.997643
Just Better Care East Perth Metro,"Unit 1, 50 Westchester Road",MALAGA,WA,6090,Metropolitan East,Home Care,0,0,0,Just Better Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,51063,Malaga,50403,Swan,Swan,58050,PHN501,Perth North,-31.856161,115.88109
PlanCare,"Level 1, 41-43 St Georges Terrace",PERTH,WA,6000,Metropolitan East,Home Care,0,0,0,PlanCare Holdings Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,51041,Perth City,50302,Perth City,Perth,57080,PHN501,Perth North,-31.95589,115.85925
Arcare Belmont,2-B Maude Street,BELMONT,NSW,2280,Hunter,Residential,80,0,0,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11206,Belmont - Bennetts Green,11101,Lake Macquarie - East,Lake Macquarie,14650,PHN108,Hunter New England and Central Coast,-33.033942,151.66192
Enhance Supports and Services,24-26 Legge Street,ROSELANDS,NSW,2196,Inner West,Home Care,0,0,0,Enhance Supports and Services Pty Ltd,Publicly Listed Company,Major Cities of Australia,1,11367,Roselands,11902,Canterbury,Canterbury-Bankstown,11570,PHN101,Central and Eastern Sydney,-33.9297929999999,151.086268999999
DPV Health Home Care Packages,2 Graystone Court,EPPING,VIC,3076,Northern Metro,Home Care,0,0,0,DPV Health Ltd,Community Based,Major Cities of Australia,1,21219,Lalor,20904,Whittlesea - Wallan,Whittlesea,27070,PHN202,Eastern Melbourne,-37.648108,144.984345999999
Arcare Warners Bay,64-72 Warners Bay Road,WARNERS BAY,NSW,2282,Hunter,Residential,108,0,0,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11213,Valentine - Eleebana,11101,Lake Macquarie - East,Lake Macquarie,14650,PHN108,Hunter New England and Central Coast,-32.983922,151.651567999999
Respect Home Care Western Sydney,50 Formby Road,DEVONPORT,TAS,7310,North Western,Home Care,0,0,0,Respect Group Limited,Charitable,Inner Regional Australia,3,61085,Devonport,60402,Devonport,Devonport,61610,PHN601,Tasmania,-41.18292,146.361401999999
Respect Home Care South Western Sydney,50 Formby Road,DEVONPORT,TAS,7310,North Western,Home Care,0,0,0,Respect Group Limited,Charitable,Inner Regional Australia,3,61085,Devonport,60402,Devonport,Devonport,61610,PHN601,Tasmania,-41.18292,146.361401999999
